ID,NOM,Lat,Lon,Alt (m),Réseau,Humidité relative,Neige,Précipitomètre,Pluviomètre à auget,Température de l'air,Température à 10 cm dans le sol,Température du point de rosée,Direction du vent (10m),Direction du vent (3m),Direction de la pointe de vent (10m),Direction de la pointe de vent (3m),Vitesse du vent (10m),Vitesse du vent (3m),Vitesse de la pointe de vent (10m),Vitesse de la pointe de vent (3m),Rayonnement solaire,Pression atmosphérique,Pression atmosphérique au niveau de la mer
CMUA,Barraute,48.47509,-77.655347,313,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMBA,Barrière - Barrage amont,47.4989,-76.7306,363,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,NON
CWHV,Beauceville,46.204891,-70.785059,228,DEA,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
QFBV,Beauceville F,46.25177,-70.75204,311,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CXBO,Beauport,46.836997,-71.197339,10,DEA,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CQBT,Berthelot,48.475833,-76.255,400,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CQBF,Boffin,46.954628,-71.606157,203,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
QFBR,Bristol,45.5303,-76.444233,90,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMZO,Brownsburg-Chatham,45.65742,-74.48645,104,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
QFBU,Bury,45.53666,-71.53765,287,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
SGEA,CETAB Victoriaville A,46.0433611,-71.9731083,105,SM,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
QFCL,Calixa-Lavallée,45.72935,-73.25378,19,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWRZ,Cap D'Espoir,48.4192,-64.3172,15,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CWSG,Cap-Chat,49.1092,-66.6542,4,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMYP,Cap-Chat-Est,49.1001,-66.61875,49,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWSF,Cap-Madeleine,49.2508,-65.3249,28,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CWTN,Cap-Tourmente,47.0786,-70.7808,5,DEA,OUI,OUI,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CQCU,Capitachouane,47.826944,-76.597778,375,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CGCL,Causapscal,48.308789,-67.252754,127,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMTY,Chambord,48.44345,-72.096383,113,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWEE,Chamouchouane,49.2786,-73.3556,303,ALCAN,OUI,NON,OUI,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON
CWIS,Charlevoix,47.2842,-70.6372,717,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYRC,Chicoutimi/St-Honore,48.5208,-71.0506,165,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQCD,Chute du Diable,48.75,-71.7,182,ALCAN,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMZI,Clarendon,45.632659,-76.535204,169,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMWU,Cloutier,48.016167,-79.13505,273,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMVF,Compton,45.259947,-71.833729,245,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CQYC,Coulonge,46.0859,-76.5525,264,DCF,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
CMPH,Courcelles,45.86175,-70.943567,390,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWHQ,Deschambault,46.690641,-71.971732,63,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON
CMVH,Deschambault SM,46.676783,-71.924858,22,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQDO,Domaine,47.025278,-76.534167,412,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
QFDO,Dosquet,46.47225,-71.53793,135,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CQDU,Duchénier,48.1167,-68.5918,323,DCF,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CMUD,Duhamel,47.332439,-79.34834,226,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CGMD,Dumoine Nord,47.33389,-77.95639,374,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CQDF,Dunford,47.024316,-71.604029,404,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CMVJ,Dunham,45.096216,-72.813383,217,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CQDN,Dunière,48.7063,-66.7769,442,DCF,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
QFPB,East Broughton,46.216917,-71.120538,494,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMZS,Egan-Sud,46.523067,-75.946717,184,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CQEO,Escoumins,48.71924,-69.612916,507,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
QFES,Esprit-Saint,48.06982,-68.60642,253,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CQES,Estcourt,47.555,-69.1275,261,DCF,OUI,OUI,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CMMF,Farnham F,45.303064,-72.982734,53,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
SCAA,Ferme Montaye,46.7209542,-71.16450298,77,SM,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI,NON
CMZN,Ferme-Neuve,46.716617,-75.404633,233,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMFM,Forêt Montmorency,47.3226,-71.1483,672,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMUF,Frampton,46.4764,-70.7652,415,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMVK,Franklin,45.033903,-73.898857,171,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWFQ,Frelighsburg,45.039583,-72.856117,151,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQGA,Galifet,47.256667,-73.738056,512,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMVS,Garagona,45.064817,-72.841153,171,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMGX,Gaspé,48.915278,-64.956389,508,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CYGP,Gaspé A,48.7761,-64.4781,35,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYND,Gatineau A,45.520451,-75.562956,59,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQGO,Gouin,48.854617,-74.205817,528,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMGB,Granby,45.3728,-72.7739,90,DEA,OUI,OUI,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMIR,Grand Lac Victoria Hydrométéo,47.722761,-77.404778,330,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,NON
CMGZ,Grandes-Bergeronnes,48.274529,-69.543661,59,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMUG,Guérin,47.6487,-79.316996,284,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CQHA,Harricana,48.895617,-78.155632,297,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CMVT,Hemmingford,45.047058,-73.609814,80,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMVU,Henryville,45.132856,-73.218749,29,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMOF,Honfleur,46.67323,-70.87324,197,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMTK,Hébertville,48.4172,-71.73565,155,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMWF,Inverness,46.339767,-71.551717,156,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWJO,Jonquière,48.425,-71.1425,135,DEA,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQJR,Jérémie,50.052925,-78.780958,260,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CMOZ,Kamouraska,47.558332,-69.837499,20,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMKI,Kipawa,47.15639,-78.934,331,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CWIZ,L'Acadie,45.29399,-73.349688,44,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CWEW,L'Assomption,45.8094,-73.4348,20,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMUM,L'Étang-du-Nord,47.37251,-61.92916,31,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWUX,La Baie,48.2981,-70.9195,135,DEA,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
QFLB,La Baie F,48.29372,-70.91543,153,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFLC,La Croche,47.63144,-72.74058,164,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFLP,La Patrie,45.405371,-71.231,388,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWST,La Pocatière,47.353941,-70.029082,30,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQLA,La Pêche,45.6222,-76.0192,200,DCF,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CMUJ,La Reine,48.863579,-79.369112,291,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWDQ,La Tuque,47.4111,-72.7872,167,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMNJ,La Visitation,46.11829,-72.64218,42,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CM2H,Lac Cold,48.18525,-73.244167,547,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMIK,Lac Cutaway,47.2178,-73.1328,440,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMFY,Lac Gabrielle,46.5095,-76.1589,280,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
QFLM,Lac Matapédia,48.50739,-67.4396,200,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMUS,Lac Megantic,45.606366,-70.932739,476,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQLP,Lac Panache,48.139134,-72.638453,433,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMFZ,Lac de la Roche,47.154722,-75.1975,390,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
QFBL,Lac-Brome,45.24441,-72.60385,271,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMZD,Lac-Sainte-Marie,45.978233,-76.025533,153,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQLM,Laflamme,48.920278,-70.252222,591,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMVV,Lanoraie,46.00927,-73.216,17,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CXLT,Laterrière,48.3072,-71.1289,162,ALCAN,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMUH,Latulipe,47.53979,-78.95255,284,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMKD,Laval,45.687852,-73.607031,6,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMQC,Lawrenceville,45.436333,-72.3514,213,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMLU,Lemieux,46.3038,-72.0605,98,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CWQH,Lennoxville,45.368613,-71.82343,180,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMZG,Litchfield,45.804083,-76.668683,117,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFMA,Macamic,48.80614,-79.06718,286,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CWMJ,Maniwaki,46.273555,-75.98775,199,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMXL,Maskinongé,46.201317,-73.041117,2,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMZL,Masson,45.56245,-75.347267,56,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CGMG,Matagami,49.7578,-77.7931,279,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYNM,Matagami A,49.7656,-77.805,280,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMYM,Matane,48.786117,-67.456867,256,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMMW,Matawin Barrage amont,46.8618,-73.6591,369,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,NON
CWTA,Mctavish,45.505,-73.5792,72,DEA,OUI,OUI,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMQF,Melbourne,45.58921,-72.09256,270,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CYMX,Mirabel,45.6661,-74.0331,82,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CMZQ,Mirabel F,45.606083,-74.136783,45,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQMT,Mistaouac,49.498459,-78.784179,296,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CQMB,Mistassibi 2,49.3731,-71.9408,216,ALCAN,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON
CQMI,Mistassini,49.3327,-72.6308,320,SOPFEU,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CWIX,Mistook,48.5983,-71.7159,109,ALCAN,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,NON
QFMC,Mont-Carmel,47.41722,-69.80029,211,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMJI,Mont-Joli,48.605277,-68.195556,55,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYYY,Mont-Joli A,48.60902,-68.20759,48,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CMZC,Mont-Laurier F,46.52355,-75.490133,221,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQMK,Montagnais,47.8958,-71.8883,492,ALCAN,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON
CQMO,Montmagny,46.9814,-70.3257,318,DCF,OUI,OUI,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CWTQ,Montréal Intl,45.4678,-73.7417,31,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
QFNV,Napierville,45.16154,-73.38417,53,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CYNA,Natashquan A,50.19,-61.78889,11,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CWOC,New Carlisle,48.012027,-65.331611,46,DEA,OUI,OUI,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMJN,New Richmond East,48.156733,-65.841919,2,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMYW,New-Richmond,48.188883,-65.832217,46,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMQZ,Newport,45.395617,-71.489733,365,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CWNQ,Nicolet,46.225979,-72.657072,7,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CWOD,Normandin,48.841979,-72.54643,136,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
